Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-January-2020,6.15,6.15,6.15,6.15,6.149992455107891957,13254,2,81512.00,13254,100.00,0.00,0.00
18-December-2019,6.18,6.18,6.18,6.18,6.171428571428571428,70,2,432.00,70,100.00,0.00,0.00
5-December-2019,6.18,6.18,6.18,6.18,6.180000000000000000,200,2,1236.00,200,100.00,0.00,0.00
29-November-2019,6.18,6.18,6.18,6.18,6.180000000000000000,500,1,3090.00,500,100.00,0.00,0.00
15-November-2019,6.50,6.50,6.50,6.50,6.498338870431893687,301,2,1956.00,301,100.00,0.00,0.00
4-November-2019,6.50,6.50,6.50,6.50,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
23-October-2019,6.50,6.50,6.50,6.50,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
12-September-2019,6.50,6.50,6.50,6.50,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
11-September-2019,6.50,6.50,6.50,6.50,6.500000000000000000,10,1,65.00,10,100.00,0.00,0.00
3-September-2019,6.50,6.50,6.50,6.50,6.500000000000000000,10,1,65.00,10,100.00,0.00,0.00
27-May-2019,6.50,6.50,6.50,6.50,6.400000000000000000,5,1,32.00,5,100.00,0.00,0.00
18-April-2019,6.50,6.50,6.50,6.50,6.400000000000000000,5,1,32.00,5,100.00,0.00,0.00
5-March-2019,6.50,6.50,6.50,6.50,6.500000000000000000,10,2,65.00,10,100.00,0.00,0.00
