Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,47.029999,47.779999,46.669998,47.299999,45.978512,7379800
2017-05-11,47.209999,47.240002,45.650002,46.540001,45.239742,6086300
2017-05-12,46.259998,46.439999,45.730000,45.830002,44.645508,3888700
2017-05-15,45.700001,46.990002,45.689999,46.680000,45.473545,5534500
2017-05-16,46.790001,47.130001,44.740002,46.939999,45.726822,4627800
2017-05-17,46.250000,46.560001,44.880001,44.919998,43.759026,6906700
2017-05-18,44.400002,45.400002,44.380001,44.650002,43.496010,6626700
2017-05-19,44.799999,45.380001,44.740002,45.220001,44.051281,6736700
2017-05-22,45.330002,46.250000,45.330002,46.209999,45.015690,4428600
2017-05-23,46.270000,46.689999,45.939999,46.660000,45.454063,3008500
2017-05-24,46.740002,47.430000,46.650002,46.770000,45.561214,3885100
2017-05-25,46.990002,48.119999,46.820000,48.020000,46.778912,5441800
2017-05-26,47.790001,48.820000,47.730000,48.740002,47.480305,5979300
2017-05-30,48.320000,48.580002,47.790001,47.959999,46.720459,5512900
2017-05-31,48.200001,48.480000,47.529999,48.410000,47.158833,4486100
2017-06-01,48.500000,49.360001,48.299999,49.049999,47.782280,4421400
2017-06-02,49.560001,50.470001,49.369999,49.520000,48.240143,7708600
2017-06-05,49.529999,49.950001,49.400002,49.740002,48.454456,5466700
2017-06-06,49.470001,50.099998,49.320000,49.740002,48.454456,4473500
2017-06-07,49.439999,50.910000,48.799999,50.860001,49.545509,7078400
2017-06-08,50.860001,51.869999,50.410000,51.430000,50.100777,6544300
2017-06-09,51.610001,51.950001,50.250000,50.270000,48.970757,7204300
2017-06-12,50.099998,50.220001,48.099998,49.480000,48.201176,8597900
2017-06-13,49.560001,49.910000,48.840000,49.450001,48.171951,5153300
2017-06-14,49.639999,49.779999,48.889999,49.389999,48.113503,4027800
2017-06-15,49.139999,49.320000,48.369999,49.110001,47.840733,4579600
2017-06-16,48.900002,49.450001,48.619999,48.790001,47.529015,6622100
2017-06-19,49.130001,49.720001,48.820000,49.660000,48.376522,4104300
2017-06-20,49.220001,49.360001,48.009998,48.029999,46.788654,6035100
2017-06-21,48.330002,48.639999,48.130001,48.430000,47.178314,3469500
2017-06-22,50.500000,50.560001,48.790001,48.970001,47.704361,9792100
2017-06-23,49.000000,49.099998,48.470001,48.630001,47.373142,12682000
2017-06-26,48.810001,49.779999,48.540001,48.779999,47.519264,3992900
