Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,50.750000,52.209999,50.750000,51.209999,47.349812,3560700
2017-05-11,51.360001,51.779999,50.910000,51.070000,47.220364,1851200
2017-05-12,51.119999,51.580002,50.750000,51.450001,47.571728,2650400
2017-05-15,52.480000,52.669998,50.580002,50.970001,47.127903,2923000
2017-05-16,51.270000,51.480000,50.320000,50.970001,47.127903,3403400
2017-05-17,50.970001,51.279999,50.099998,50.189999,46.406696,2711800
2017-05-18,50.000000,50.610001,49.340000,49.919998,46.157055,3573100
2017-05-19,50.250000,51.189999,50.029999,51.160000,47.303577,2898700
2017-05-22,51.410000,51.450001,50.000000,50.020000,46.249519,3519500
2017-05-23,50.040001,50.240002,49.529999,50.000000,46.231022,3001600
2017-05-24,49.770000,50.549999,49.610001,49.869999,46.110821,2900800
2017-05-25,49.779999,50.560001,47.660000,47.709999,44.113640,3645500
2017-05-26,47.880001,48.259998,47.330002,48.189999,44.557453,2896400
2017-05-30,47.840000,48.139999,47.250000,47.560001,43.974945,3783400
2017-05-31,47.020000,47.320000,46.470001,46.759998,43.235256,4216300
2017-06-01,46.849998,47.610001,46.549999,47.299999,43.734550,2816200
2017-06-02,46.750000,47.220001,46.130001,46.990002,43.447922,4254700
2017-06-05,46.730000,47.130001,46.439999,46.730000,43.207512,3795900
2017-06-06,46.560001,48.060001,46.430000,48.040001,44.418766,3000400
2017-06-07,47.650002,48.080002,45.950001,46.779999,43.253742,7075100
2017-06-08,46.779999,47.500000,46.320000,47.000000,43.457161,4618100
2017-06-09,47.240002,48.599998,47.220001,48.340000,44.696152,3818200
2017-06-12,48.820000,49.259998,48.419998,48.419998,44.770115,3055200
2017-06-13,48.410000,49.310001,48.310001,49.220001,45.509819,2243400
2017-06-14,48.779999,48.790001,47.220001,47.720001,44.122883,3793500
2017-06-15,47.470001,48.139999,47.340000,47.799999,44.196861,4673400
2017-06-16,48.049999,49.680000,47.930000,49.540001,45.805695,6182700
2017-06-19,49.540001,50.189999,49.400002,49.820000,46.064594,2977700
2017-06-20,48.959999,49.669998,47.389999,47.720001,44.122883,5356700
2017-06-21,47.349998,47.430000,45.259998,45.660000,42.218170,5130300
2017-06-22,45.869999,46.250000,45.150002,45.630001,42.190437,2693300
2017-06-23,45.720001,46.189999,45.520000,46.080002,42.606510,10019500
2017-06-26,46.330002,46.669998,45.790001,46.209999,42.726707,2490800
2017-06-27,46.340000,46.950001,46.139999,46.209999,42.726707,2116900
2017-06-28,46.330002,47.480000,46.290001,47.139999,43.586613,2562300
2017-06-29,47.400002,48.509998,47.270000,47.450001,43.873245,3551000
2017-06-30,47.599998,48.410000,47.099998,47.930000,44.317059,2817400
2017-07-03,48.180000,49.560001,48.110001,49.330002,45.611530,1277800
2017-07-05,48.980000,49.110001,47.590000,47.650002,44.058167,2251300
2017-07-06,47.650002,47.910000,45.639999,45.770000,42.319874,3540100
2017-07-07,45.529999,45.700001,44.599998,45.110001,41.709633,4343400
2017-07-10,46.090000,47.380001,45.650002,47.110001,43.558868,5679500
2017-07-11,47.110001,47.639999,46.509998,47.200001,43.642086,3348400
2017-07-12,47.990002,48.290001,47.009998,47.580002,43.993443,3218800
2017-07-13,47.459999,48.279999,47.299999,48.240002,44.603691,2615800
2017-07-14,48.419998,48.709999,48.200001,48.560001,44.899567,2305300
2017-07-17,48.380001,48.770000,48.240002,48.680000,45.010529,3011000
2017-07-18,49.180000,49.250000,47.470001,47.730000,44.132130,2321400
2017-07-19,47.430000,50.130001,47.320000,49.860001,46.344322,6096900
2017-07-20,50.360001,50.529999,49.290001,49.349998,45.870277,3460400
2017-07-21,49.290001,49.400002,48.279999,48.410000,44.996559,3347600
2017-07-24,48.540001,48.759998,47.590000,47.959999,44.578289,2620100
2017-07-25,48.869999,49.750000,48.540001,48.860001,45.414829,3558900
2017-07-26,49.209999,49.799999,48.759998,48.860001,45.414829,2063200
2017-07-27,48.840000,50.330002,48.360001,50.220001,46.678936,3714600
2017-07-28,50.150002,51.209999,49.720001,50.009998,46.483746,3982700
2017-07-31,50.000000,50.009998,49.099998,49.480000,45.991116,2085500
2017-08-01,49.439999,49.439999,48.480000,48.660000,45.228931,2843300
2017-08-02,48.180000,48.349998,47.070000,47.910000,44.531822,4465600
2017-08-03,47.200001,47.200001,43.240002,44.060001,40.953281,11184000
2017-08-04,44.209999,45.310001,43.610001,45.220001,42.031490,7043100
2017-08-07,44.709999,45.099998,44.200001,44.389999,41.260017,3904900
2017-08-08,44.360001,45.279999,43.930000,44.119999,41.009048,3448700
2017-08-09,44.560001,44.970001,43.250000,43.580002,40.507126,3321900
2017-08-10,43.520000,43.880001,42.360001,42.610001,39.605534,3803900
2017-08-11,42.240002,42.919998,42.169998,42.389999,39.401039,2506000
2017-08-14,42.410000,42.580002,41.470001,41.570000,38.638855,3604700
2017-08-15,41.389999,41.660000,41.000000,41.540001,38.610977,4038600
2017-08-16,41.680000,41.880001,40.509998,40.630001,37.765133,3313700
2017-08-17,40.720001,40.720001,39.869999,39.889999,37.077312,2728600
2017-08-18,39.860001,40.930000,39.779999,40.310001,37.467701,3046500
2017-08-21,40.150002,40.259998,39.040001,39.520000,36.733398,4071400
2017-08-22,39.619999,40.049999,39.580002,39.889999,37.077312,3008100
2017-08-23,39.759998,40.689999,39.459999,40.240002,37.402637,3809000
2017-08-24,40.049999,40.369999,39.860001,40.029999,37.207443,1886500
2017-08-25,40.189999,40.389999,39.779999,40.060001,37.235332,2399400
2017-08-28,39.990002,40.250000,38.820000,39.349998,36.575382,3888700
2017-08-29,38.840000,39.230000,38.349998,38.869999,36.129234,3111000
2017-08-30,38.709999,39.200001,38.259998,38.369999,35.664486,4721300
2017-08-31,38.369999,39.180000,38.139999,38.840000,36.101353,4989500
2017-09-01,39.000000,39.700001,38.619999,39.480000,36.696217,2955900
2017-09-05,39.740002,40.139999,39.080002,39.419998,36.640457,2889500
2017-09-06,39.709999,40.529999,39.660000,40.130001,37.300396,2902000
2017-09-07,40.029999,40.849998,39.889999,40.730000,37.858089,4129400
2017-09-08,40.310001,40.480000,38.980000,39.299999,36.528912,3725900
