,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,2017-05-10,10.46,10.85,10.45,10.79,10.79,65995900,0.0
1,2017-05-11,10.74,11.26,10.51,11.07,11.07,72946500,-2.529358626919613
2,2017-05-12,11.2,11.4,11.08,11.26,11.26,56072600,-1.6873889875666033
3,2017-05-15,11.41,11.6,11.3,11.42,11.42,52565000,-1.4010507880910694
4,2017-05-16,11.66,12.77,11.63,12.75,12.75,164186900,-10.431372549019608
5,2017-05-17,11.81,12.29,11.16,11.2,11.2,160109500,13.83928571428572
6,2017-05-18,10.99,11.49,10.81,11.28,11.28,86900100,-0.7092198581560291
7,2017-05-19,11.47,11.62,11.35,11.41,11.41,50319700,-1.1393514460999192
8,2017-05-22,11.49,11.55,10.77,11.04,11.04,78696400,3.351449275362328
9,2017-05-23,10.97,11.06,10.62,10.89,10.89,49799600,1.377410468319546
10,2017-05-24,11.05,11.06,10.71,10.89,10.89,42903900,0.0
11,2017-05-25,11.01,11.01,10.8,10.98,10.98,33584300,-0.8196721311475397
12,2017-05-26,10.85,11.02,10.74,11.0,11.0,31907600,-0.18181818181817794
13,2017-05-30,10.95,11.27,10.9,11.12,11.12,35339000,-1.079136690647475
14,2017-05-31,11.29,11.49,11.1,11.19,11.19,42929000,-0.625558534405722
15,2017-06-01,11.25,11.29,10.81,10.93,10.93,48002000,2.3787740164684337
16,2017-06-02,10.93,10.96,10.57,10.9,10.9,43056200,0.27522935779815927
17,2017-06-05,10.84,11.34,10.8,11.24,11.24,66207300,-3.0249110320284682
18,2017-06-06,11.27,12.24,11.24,12.03,12.03,114998600,-6.566916043225264
19,2017-06-07,12.42,12.96,12.23,12.38,12.38,151005900,-2.8271405492730324
20,2017-06-08,12.81,12.91,12.4,12.9,12.9,89515100,-4.031007751937981
21,2017-06-09,13.1,13.4,11.63,12.28,12.28,167454400,5.048859934853429
22,2017-06-12,11.75,12.35,11.27,12.09,12.09,125781800,1.5715467328370512
23,2017-06-13,12.33,12.48,11.67,11.96,11.96,87302300,1.0869565217391222
24,2017-06-14,11.91,12.05,11.65,11.77,11.77,51909400,1.6142735768904102
25,2017-06-15,11.34,11.58,11.21,11.5,11.5,61666000,2.347826086956518
26,2017-06-16,11.66,11.83,11.28,11.44,11.44,59779500,0.5244755244755288
27,2017-06-19,11.63,12.12,11.62,11.93,11.93,61803600,-4.107292539815592
28,2017-06-20,12.19,12.93,12.18,12.64,12.64,118001500,-5.617088607594943
29,2017-06-21,13.36,14.01,13.13,13.98,13.98,188796100,-9.585121602288984
30,2017-06-22,14.1,14.5,13.56,14.38,14.38,149594200,-2.7816411682892928
31,2017-06-23,14.15,14.67,13.9,14.17,14.17,200777300,1.4820042342978184
