Year,Ratings,Votes
1900,1435.6000000000001,25594
1901,1206.9,25697
1902,1047.9999999999998,51205
1903,1370.1999999999996,45429
1904,1172.1000000000017,18340
1905,1049.4000000000008,16998
1906,1059.0000000000005,18200
1907,1065.7999999999997,15725
1908,1538.299999999999,17190
1909,1640.0,18030
1910,1849.4000000000008,18003
1911,1945.7000000000003,15414
1912,2690.2000000000035,27633
1913,2082.099999999999,24415
1914,1999.7999999999975,60159
1915,2468.6,68885
1916,2222.6999999999975,56595
1917,2220.6999999999985,42782
1918,1969.6000000000001,41928
1919,2237.9000000000005,58940
1920,2419.9000000000015,117779
1921,2474.000000000001,179104
1922,2309.7,167234
1923,2535.399999999996,77424
1924,2765.999999999999,128096
1925,3512.4999999999986,245121
1926,3879.999999999999,158297
1927,3977.4999999999945,321379
1928,4376.599999999998,216134
1929,4591.600000000001,207817
1930,5415.099999999992,236633
1931,6185.2,631305
1932,6832.599999999999,415406
1933,6846.700000000011,449717
1934,7616.7000000000035,386750
1935,7947.500000000005,424013
1936,8365.500000000002,586376
1937,8409.399999999996,533722
1938,8447.899999999992,457723
1939,8007.499999999994,1214537
1940,7956.899999999994,1084916
1941,8031.399999999997,1101071
1942,8058.999999999993,1120490
1943,7523.299999999995,438775
1944,6484.700000000001,670226
1945,5996.400000000007,516684
1946,6723.900000000002,1068518
1947,6956.200000000004,517627
1948,7645.399999999998,909069
1949,8697.60000000002,732403
1950,10307.599999999979,1137954
1951,10812.799999999997,1034941
1952,12841.800000000007,887788
1953,15222.300000000025,1157745
1954,15329.09999999998,1733150
1955,18954.39999999995,1257473
1956,19772.500000000047,1068270
1957,21294.09999999996,2135379
1958,23701.900000000085,1258777
1959,26989.599999999955,1915589
1960,29264.899999999878,2049904
1961,30282.59999999989,1483384
1962,27038.900000000012,1998406
1963,26696.400000000012,1761313
1964,28774.600000000024,2206897
1965,33099.99999999998,1653690
1966,34744.599999999955,2287035
1967,35765.299999999974,2133010
1968,34503.79999999992,2648493
1969,36171.20000000013,1716467
1970,35225.79999999993,1507728
1971,33962.89999999998,2930720
1972,34643.20000000002,3336761
1973,35118.39999999995,3008344
1974,35607.6,3299382
1975,34821.2000000001,3919244
1976,36369.10000000006,3303349
1977,36844.69999999997,3475544
1978,39906.59999999986,2842588
1979,40846.89999999984,4345134
1980,37839.9,5043999
1981,38880.400000000176,4014387
1982,41513.89999999995,4905468
1983,44501.69999999984,4681287
1984,48629.09999999993,6418821
1985,54390.199999999946,6148756
1986,54925.1,6356622
1987,55348.79999999996,7355004
1988,51758.39999999993,7582548
1989,58931.19999999972,8503729
1990,59007.4999999999,9366982
1991,60047.89999999988,8126173
1992,61410.60000000005,8939602
1993,66710.49999999983,11478869
1994,70306.49999999987,16882595
1995,75550.20000000048,15834205
1996,82032.0999999998,12275470
1997,89157.39999999992,17690541
1998,95170.00000000003,18082761
1999,100382.49999999981,22825558
