CompanyA,CompanyB,Value
AAL,AAL,1.0
AAL,AAPL,0.3948117639766281
AAL,ABBV,0.20599093737085997
AAL,ABC,0.2847293243931709
AAL,ABMD,0.16265928577763833
AAL,ABT,0.3446439326110912
AAL,ADBE,0.36834090468135977
AAL,AES,0.12684271200070987
AAL,AIZ,0.2811004339142482
AAL,AKAM,0.35697243635751214
AAL,ALB,0.3478375866262133
AAL,ALLE,0.45982028794765073
AAL,ALXN,0.249686413492012
AAL,AMAT,0.4366856766762156
AAL,AMP,0.5174695743827781
AAL,AMT,0.04626595493678468
AAL,AMZN,0.36151403969134044
AAL,ANSS,0.3999803897473102
AAL,AOS,0.47844787693454366
AAL,APA,0.15715309640234534
AAL,APD,0.37967325067744806
AAL,APH,0.43576352620251335
AAL,APTV,0.4293594098089415
AAL,ARNC,0.3163304668111308
AAL,ATVI,0.2837428433660791
AAPL,AAL,0.3948117639766281
AAPL,AAPL,0.9999999999999999
AAPL,ABBV,0.27663151639391037
AAPL,ABC,0.24157876654607813
AAPL,ABMD,0.3360244024916714
AAPL,ABT,0.4687311468393783
AAPL,ADBE,0.5583145889279054
AAPL,AES,0.2146321772013748
AAPL,AIZ,0.26250432105881816
AAPL,AKAM,0.4023592001091054
AAPL,ALB,0.3990755656218011
AAPL,ALLE,0.38667638131779647
AAPL,ALXN,0.332064292686816
AAPL,AMAT,0.5495787985088071
AAPL,AMP,0.45831545602828205
AAPL,AMT,0.1475657683960272
AAPL,AMZN,0.5854687441064192
AAPL,ANSS,0.5576770743786228
AAPL,AOS,0.43457646853434034
AAPL,APA,0.2765224970889899
AAPL,APD,0.4187239227994967
AAPL,APH,0.6142200186357638
AAPL,APTV,0.4377697716012245
AAPL,ARNC,0.2706956182497576
AAPL,ATVI,0.4641059100694952
ABBV,AAL,0.20599093737085997
ABBV,AAPL,0.27663151639391037
ABBV,ABBV,1.0
ABBV,ABC,0.25925098490857534
ABBV,ABMD,0.21259044462553273
ABBV,ABT,0.434356612105671
ABBV,ADBE,0.33092282861150224
ABBV,AES,0.19213400523194113
ABBV,AIZ,0.2417930495825562
ABBV,AKAM,0.23374474898844247
ABBV,ALB,0.18423645149162832
ABBV,ALLE,0.2529433149512794
ABBV,ALXN,0.36347013934963057
ABBV,AMAT,0.27223841938863447
ABBV,AMP,0.3544627875563749
ABBV,AMT,0.1525990353853191
ABBV,AMZN,0.2929326680282811
ABBV,ANSS,0.3187013555280332
ABBV,AOS,0.25404273048665454
ABBV,APA,0.18904615372714437
ABBV,APD,0.27932705875004693
ABBV,APH,0.3745484202524317
ABBV,APTV,0.24481504484036568
ABBV,ARNC,0.21767282326830922
ABBV,ATVI,0.21352431020094112
ABC,AAL,0.28472932439317095
ABC,AAPL,0.2415787665460781
ABC,ABBV,0.25925098490857534
ABC,ABC,1.0
ABC,ABMD,0.11256962278183903
ABC,ABT,0.32363687723734863
ABC,ADBE,0.19763920240945773
ABC,AES,0.1361735172196162
ABC,AIZ,0.2601417176186832
ABC,AKAM,0.2562150223801152
ABC,ALB,0.22391465076945422
ABC,ALLE,0.3188600481772778
ABC,ALXN,0.29800989060975547
ABC,AMAT,0.22892407802442805
ABC,AMP,0.3498481497411575
ABC,AMT,0.10183500559560582
ABC,AMZN,0.21606791470644582
ABC,ANSS,0.2569963850827029
ABC,AOS,0.2576923265615886
ABC,APA,0.20763257548842082
ABC,APD,0.26348539898649403
ABC,APH,0.2479948721671738
ABC,APTV,0.2660503158411345
ABC,ARNC,0.20433424734208228
ABC,ATVI,0.1554428508251825
ABMD,AAL,0.16265928577763833
ABMD,AAPL,0.3360244024916714
