CompanyA,CompanyB,Value
AAP,AAP,1.0
AAP,ADM,0.20807831448967434
AAP,AEE,0.05160508176664627
AAP,AEP,0.009356978521222492
AAP,AFL,0.18193574330843953
AAP,AGN,0.14312760812040068
AAP,AIG,0.1282248623299846
AAP,AIV,0.1054626186865943
AAP,AJG,0.2000703097140476
AAP,ALGN,0.11721272381587704
AAP,ALK,0.2232063789984219
AAP,ALL,0.15219159429223775
AAP,AMD,0.07322696619579558
AAP,AME,0.21929214911066977
AAP,ANTM,0.1422974826565589
AAP,AON,0.18860653237485925
AAP,ARE,0.14806556213634245
AAP,ATO,0.12297541323907973
AAP,AWK,0.05535375233583404
AAP,AXP,0.17212636532233513
AAP,GOOG,0.1469026257409831
AAP,GOOGL,0.14626130753281016
AAP,LNT,0.029210858351622675
AAP,MCD,0.08887665498644268
AAP,MMM,0.16558830625997006
ADM,AAP,0.20807831448967434
ADM,ADM,1.0
ADM,AEE,0.19248751848395085
ADM,AEP,0.08763784025400001
ADM,AFL,0.3681261011040076
ADM,AGN,0.25177982059403214
ADM,AIG,0.37523556750800047
ADM,AIV,0.2705258125712866
ADM,AJG,0.3479471810240716
ADM,ALGN,0.19465373779660203
ADM,ALK,0.2938369203799269
ADM,ALL,0.35275275344303614
ADM,AMD,0.25368709803890394
ADM,AME,0.3895067377740676
ADM,ANTM,0.2115657703939364
ADM,AON,0.31835903326694964
ADM,ARE,0.2889104849773308
ADM,ATO,0.20236980491612153
ADM,AWK,0.15482361940616463
ADM,AXP,0.39505054813443613
ADM,GOOG,0.27778189986017326
ADM,GOOGL,0.27923718675766873
ADM,LNT,0.1411039221624967
ADM,MCD,0.13309793801887257
ADM,MMM,0.3847757147144055
AEE,AAP,0.05160508176664627
AEE,ADM,0.19248751848395082
AEE,AEE,1.0
AEE,AEP,0.8210153286825786
AEE,AFL,0.2196986815349976
AEE,AGN,0.04382239789731333
AEE,AIG,0.08927805643869458
AEE,AIV,0.5154411842245606
AEE,AJG,0.29678068057359597
AEE,ALGN,0.10142774362178594
AEE,ALK,0.06796595031436536
AEE,ALL,0.1800280606688745
AEE,AMD,0.033838328855733346
AEE,AME,0.08973398600841148
AEE,ANTM,0.09155073495056228
AEE,AON,0.24773478511077743
AEE,ARE,0.44441823882037795
AEE,ATO,0.7703567159269987
AEE,AWK,0.7516901529683601
AEE,AXP,0.16705334278437772
AEE,GOOG,0.043045983644173974
AEE,GOOGL,0.04600337200589175
AEE,LNT,0.8607416287793471
AEE,MCD,0.2464519644948853
AEE,MMM,0.1150035677980164
AEP,AAP,0.00935697852122249
AEP,ADM,0.08763784025400001
AEP,AEE,0.8210153286825788
AEP,AEP,1.0
AEP,AFL,0.18310273472586966
AEP,AGN,0.019210386285986918
AEP,AIG,0.0127324761680365
AEP,AIV,0.5053254135941262
AEP,AJG,0.23589573160856672
AEP,ALGN,0.08053518067272337
AEP,ALK,0.0471938723001487
AEP,ALL,0.15154697859161312
AEP,AMD,-0.027521904640275274
AEP,AME,-0.0053369781246288125
AEP,ANTM,0.04974675987682714
AEP,AON,0.19436220253724995
AEP,ARE,0.4004084469681565
AEP,ATO,0.7293267578999081
AEP,AWK,0.7607498702432998
AEP,AXP,0.08890460244962459
AEP,GOOG,-0.015288767190679007
AEP,GOOGL,-0.01181594852299705
AEP,LNT,0.8678283366438644
AEP,MCD,0.21912009175502642
AEP,MMM,0.041284670084516
AFL,AAP,0.1819357433084395
AFL,ADM,0.3681261011040076
AFL,AEE,0.2196986815349976
AFL,AEP,0.1831027347258697
AFL,AFL,1.0
AFL,AGN,0.25887768207893824
AFL,AIG,0.47660408410905536
AFL,AIV,0.29782007472570415
AFL,AJG,0.5306026454773531
AFL,ALGN,0.26277231346780383
AFL,ALK,0.28986088671187005
AFL,ALL,0.4996543347530541
AFL,AMD,0.23694647164692426
AFL,AME,0.4792784484392317
AFL,ANTM,0.28038493165842837
AFL,AON,0.47577780174429596
AFL,ARE,0.31274708475843316
AFL,ATO,0.24437775354191474
AFL,AWK,0.27451781557688476
AFL,AXP,0.5197948353458599
AFL,GOOG,0.3027927663038449
AFL,GOOGL,0.2994972362823915
AFL,LNT,0.20541822563040504
AFL,MCD,0.3212590880249925
AFL,MMM,0.4015657491905612
AGN,AAP,0.14312760812040065
